,lat,lng,x
0,22.3311165,114.226279,1.0
3,22.315134,114.219628,1.0
5,22.309093,114.23436,1.0
6,22.312205,114.226399,1.0
12,22.3090231,114.239575,1.0
27,22.3215102,114.215512,1.0
29,22.3301172,114.206678,1.0
35,22.3090467,114.23227,1.0
38,22.3155286,114.214781,1.0
51,22.3167781,114.21662,1.0
53,22.3264828,114.225815,1.0
59,22.3165412,114.229636,1.0
68,22.3194881,114.231916,1.0
82,22.306006,114.228294,1.0
92,22.328414,114.2156,1.0
127,22.320725,114.234312,1.0
141,22.327274,114.228174,1.0
151,22.329041,114.210247,1.0
159,22.297219,114.242018,1.0
167,22.316761,114.226899,1.0
180,22.312552,114.233864,1.0
192,22.31956,114.216352,1.0
200,22.312421,114.238044,1.0
205,22.331636,114.224685,1.0
213,22.325925,114.22739,1.0
214,22.32451,114.227415,1.0
219,22.307445,114.238992,1.0
224,22.306885,114.238122,1.0
228,22.325992,114.218332,1.0
236,22.314181,114.229285,1.0
249,22.333323,114.208551,1.0
265,22.316618,114.233521,1.0
270,22.318656,114.234155,1.0
272,22.318039,114.233468,1.0
283,22.317072,114.237437,1.0
302,22.307277,114.236234,1.0
305,22.322012,114.220589,1.0
306,22.321064,114.2211,1.0
310,22.296385,114.240167,1.0
326,22.299049,114.237237,1.0
